Date,BTC-USD,GC=F,DX-Y.NYB,^GSPC,ETH-USD,BNB-USD,XRP-USD,ADA-USD,SOL-USD,DOGE-USD,DOT-USD,AVAX-USD,LINK-USD,UNI-USD,ATOM-USD
2025-03-29,82597.5859375,,,,1827.3203125,603.2378540039062,2.139949083328247,0.6739220023155212,124.587646484375,0.16956500709056854,4.052915096282959,19.654756546020508,13.545989036560059,0.00016599999798927456,4.2431511878967285
2025-03-30,82334.5234375,,,,1806.2186279296875,601.8302001953125,2.1361429691314697,0.6607080101966858,124.64263153076172,0.16631899774074554,4.0395050048828125,18.862831115722656,13.387308120727539,0.00016599999798927456,4.313941955566406
2025-03-31,82548.9140625,3122.800048828125,104.20999908447266,5611.85009765625,1823.47998046875,605.0728149414062,2.0898969173431396,0.6614469885826111,124.69412994384766,0.16671499609947205,4.022634983062744,18.768949508666992,13.512476921081543,0.00016599999798927456,4.3736958503723145
2025-04-01,85169.171875,3118.89990234375,104.26000213623047,5633.06982421875,1905.491455078125,611.297119140625,2.139611005783081,0.6776549816131592,126.68238067626953,0.17408600449562073,4.1754021644592285,19.79265785217285,14.042898178100586,0.00017100000695791095,4.375486850738525
2025-04-02,82485.7109375,3139.89990234375,103.80999755859375,5670.97021484375,1795.313232421875,590.6375732421875,2.025067090988159,0.641638994216919,117.75762939453125,0.1641950011253357,3.9694559574127197,18.013551712036133,12.934548377990723,0.00016599999798927456,4.222219944000244
2025-04-03,83102.828125,3097.0,102.06999969482422,5396.52001953125,1815.63720703125,592.1244506835938,2.062467098236084,0.6500589847564697,117.06145477294922,0.1620599925518036,4.051623821258545,18.1337947845459,12.879012107849121,0.00016700000560376793,4.642675876617432
2025-04-04,83843.8046875,3012.0,103.0199966430664,5074.080078125,1815.335205078125,597.5794067382812,2.128959894180298,0.6604490280151367,122.78688049316406,0.171097993850708,4.032867908477783,18.181718826293945,12.934565544128418,0.00016900000628083944,4.978067874908447
2025-04-05,83504.796875,3012.0,103.0199966430664,5074.080078125,1805.9732666015625,593.1148681640625,2.143731117248535,0.6546710133552551,120.25899505615234,0.16902700066566467,3.956533908843994,17.891618728637695,12.846267700195312,0.00016799999866634607,4.8052978515625
2025-04-06,78214.484375,3012.0,103.0199966430664,5074.080078125,1576.72802734375,554.5949096679688,1.917894959449768,0.5727930068969727,105.7120132446289,0.14884500205516815,3.677018880844116,15.994715690612793,11.25341510772705,0.00015700000221841037,4.438739776611328
2025-04-07,79235.3359375,2951.300048828125,103.26000213623047,5062.25,1555.240966796875,554.4833984375,1.8977539539337158,0.5854309797286987,106.90277862548828,0.14952099323272705,3.5914759635925293,16.694761276245117,11.451340675354004,0.00015900000289548188,4.333686828613281
2025-04-08,76271.953125,2968.39990234375,102.95999908447266,4982.77001953125,1472.5531005859375,553.4674072265625,1.7945679426193237,0.5578879714012146,105.51219177246094,0.14210699498653412,3.371997117996216,16.121753692626953,10.9085111618042,0.00015300000086426735,4.163844108581543
2025-04-09,82573.953125,3056.5,102.9000015258789,5456.89990234375,1668.0400390625,582.3693237304688,2.0517380237579346,0.631676971912384,119.05754089355469,0.16037100553512573,3.639357089996338,18.44510269165039,12.657184600830078,0.00016599999798927456,4.533537864685059
2025-04-10,79626.140625,3155.199951171875,100.87000274658203,5268.0498046875,1522.518798828125,577.4059448242188,1.9664820432662964,0.609387993812561,112.80392456054688,0.15366600453853607,3.4621849060058594,18.330242156982422,12.07532024383545,0.00015999999595806003,4.334009170532227
2025-04-11,83404.8359375,3222.199951171875,99.77999877929688,5363.35986328125,1567.1497802734375,586.0889892578125,2.0238869190216064,0.6241670250892639,121.53237915039062,0.16008900105953217,3.5592501163482666,19.161819458007812,12.661982536315918,0.0001630000042496249,4.244882106781006
2025-04-12,85287.109375,3222.199951171875,99.77999877929688,5363.35986328125,1643.528564453125,597.123046875,2.1586201190948486,0.6588519811630249,132.26055908203125,0.1676110029220581,3.7127699851989746,20.469505310058594,13.146659851074219,0.0001630000042496249,4.352557182312012
2025-04-13,83684.9765625,3222.199951171875,99.77999877929688,5363.35986328125,1596.685791015625,584.04248046875,2.120198965072632,0.6380749940872192,128.58079528808594,0.16279199719429016,3.665757894515991,19.586620330810547,12.6239013671875,0.0001630000042496249,4.144314765930176
2025-04-14,84542.390625,3204.800048828125,99.63999938964844,5405.97021484375,1622.7698974609375,584.335205078125,2.12675404548645,0.6348739862442017,129.3103790283203,0.15850099921226501,3.6716148853302,20.091869354248047,12.622772216796875,0.0001630000042496249,4.128220081329346
2025-04-15,83668.9921875,3218.699951171875,100.22000122070312,5396.6298828125,1588.6324462890625,579.68603515625,2.0885488986968994,0.6091629862785339,126.26313018798828,0.15354999899864197,3.523082971572876,19.03645896911621,12.235984802246094,0.0001630000042496249,3.979741096496582
2025-04-16,84033.8671875,3326.60009765625,99.37999725341797,5275.7001953125,1578.1053466796875,582.8062133789062,2.0832419395446777,0.610418975353241,131.44969177246094,0.1546880006790161,3.5573348999023438,18.75917625427246,12.357337951660156,0.0001630000042496249,4.020336151123047
2025-04-17,84895.75,3308.699951171875,99.37999725341797,5282.7001953125,1582.54833984375,590.1621704101562,2.0664150714874268,0.6163049936294556,134.69874572753906,0.15573999285697937,3.6304900646209717,19.038515090942383,12.517427444458008,0.0001630000042496249,4.110084056854248
2025-04-18,84450.8046875,3308.699951171875,99.37999725341797,5282.7001953125,1588.9246826171875,591.7638549804688,2.0635271072387695,0.6274449825286865,134.07350158691406,0.1576160043478012,3.67856502532959,19.073871612548828,12.562503814697266,0.0001630000042496249,4.124811172485352
